,country,CPI 2015 Score,lu,lpc,lsc,lhc,yr_sch,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence,Score(%)_hs,Score(%)_d,Score(%)_v,Value,First Tooltip,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
78,Poland,63,0.36,9.04,53.15,16.1,11.776,12.056,2.58999991416931,1,44.8057731691732,1,1,1,1,31,51,13,41.43,15.8,2015,6.007021903991699,10.235350608825684,0.8930904269218445,68.0999984741211,0.7934621572494507,-0.09301692992448807,0.8100963234901428
79,Portugal,64,2.28,32.94,16.09,4.99,9.499,9.5936,2.82999992370605,1,48.8514867048655,1,1,1,1,30,51,15,50.0,13.8,2015,5.08086633682251,10.346818923950195,0.866213858127594,71.80000305175781,0.8004403114318848,-0.16310612857341766,0.9410507678985596
80,Romania,46,0.84,0.5,53.42,9.64,11.388,36.351,0.660000026226044,1,43.0006756346061,1,1,1,1,28,54,7,48.57,11.6,2015,5.777491092681885,10.08348560333252,0.7869673371315002,66.30000305175781,0.7958477139472961,-0.1412583291530609,0.9616509675979614
81,Russia,29,0.72,1.07,24.22,27.58,12.073,22.9874,0.860000014305115,1,48.4398908987189,0,1,1,0,20,32,19,41.43,32.1,2015,5.995538711547852,10.149029731750488,0.9243632555007935,63.099998474121094,0.6854547262191772,-0.17106080055236816,0.9134182929992676
82,Rwanda,54,19.52,29.67,8.18,1.83,5.526,39.6864,0.0399999991059303,1,51.495760235182,0,0,0,1,19,30,11,45.71,6.8,2015,3.4831089973449707,7.5436811447143555,0.6781435608863831,59.29999923706055,0.9078923463821411,0.025018684566020966,0.09460446983575821
83,Saudi Arabia,52,3.45,14.59,27.45,17.54,10.069,8.5584,0.200000002980232,0,16.2511069585473,0,0,0,1,40,73,15,35.71,3.2,2015,6.345491886138916,10.797966957092285,0.8197497129440308,65.4000015258789,0.8202072381973267,-0.04480266198515892,0.7445489010298807
84,Senegal,44,53.36,11.66,5.95,2.15,3.693,77.0754,0.430000007152557,0,40.2068790293732,0,1,0,1,30,60,14,55.71,6.2,2015,4.617000579833984,7.99512243270874,0.7015345096588135,58.400001525878906,0.7195332646369934,-0.11110300570726395,0.7654901742935181
85,Serbia,40,0.97,2.58,55.93,12.03,11.659,16.3292,2.33999991416931,1,43.7336079416838,1,1,1,1,23,24,6,51.43,15.0,2015,5.317685127258301,9.649492263793945,0.8162510395050049,67.0,0.5458920001983643,-0.06208997592329979,0.859358012676239
86,Sierra Leone,29,45.43,13.73,6.98,0.88,4.415,118.3336,2.78999996185303,0,49.3206623748105,0,0,0,1,38,70,25,42.86,9.3,2015,4.908617973327637,7.347185134887695,0.6105937361717224,46.0,0.6242961287498474,0.05044646933674812,0.824828028678894
87,Singapore,85,0.83,3.44,30.47,39.41,12.766,3.6816,3.46000003814697,0,41.6493810193163,0,0,1,1,43,44,27,44.29,9.0,2015,6.619524955749512,11.40049934387207,0.8664366602897644,75.9000015258789,0.8868908882141113,0.14967015385627747,0.09894388169050217
88,Slovakia,51,0.64,10.95,56.87,9.09,12.04,24.396,1.86000001430511,1,45.2558796681392,1,1,1,1,22,32,11,45.71,12.8,2015,6.162004470825195,10.290573120117188,0.9434536695480347,68.0,0.587157666683197,-0.12785226106643677,0.9275451302528381
